+------------+--------+-------------+----------+
| tournament | player | prize_money | position |
|        242 |     36 |        NULL |       19 |
|        242 |     44 |        NULL |        3 |
|        242 |     46 |        NULL |        7 |
|        242 |     47 |        NULL |       27 |
|        242 |     54 |        NULL |       32 |
|        242 |     66 |        NULL |        4 |
|        242 |     67 |        NULL |        8 |
|        242 |     74 |        NULL |        5 |
|        242 |     82 |        NULL |        2 |
|        242 |     86 |        NULL |       18 |
|        242 |     89 |        NULL |       30 |
|        242 |     90 |        NULL |       17 |
|        242 |     98 |        NULL |        6 |
|        242 |    109 |        NULL |       15 |
|        242 |    128 |        NULL |       25 |
|        242 |    181 |        NULL |       29 |
|        242 |    200 |        NULL |        9 |
|        242 |    203 |        NULL |       28 |
|        242 |    216 |        NULL |       20 |
|        242 |    223 |        NULL |       13 |
|        242 |    224 |        NULL |       12 |
|        242 |    225 |        NULL |       24 |
|        242 |    339 |        NULL |       26 |
|        242 |    549 |        NULL |       14 |
|        242 |   1004 |        NULL |       31 |
|        242 |   1154 |        NULL |       21 |
|        248 |      1 |        NULL |       11 |
|        248 |      4 |        NULL |       12 |
|        248 |      6 |        NULL |       30 |
|        248 |     12 |        NULL |        9 |
|        248 |     13 |        NULL |        2 |
|        248 |     14 |        NULL |       19 |
|        248 |     19 |        NULL |       29 |
|        248 |     22 |        NULL |        5 |
|        248 |     24 |        NULL |       22 |
|        248 |     25 |        NULL |        8 |
|        248 |     28 |        NULL |        1 |
|        248 |     29 |        NULL |       27 |
|        248 |     31 |        NULL |       15 |
|        248 |     32 |        NULL |        6 |
|        248 |     33 |        NULL |       20 |
|        248 |     35 |        NULL |       13 |
|        248 |     43 |        NULL |       28 |
|        248 |     57 |        NULL |        3 |
|        248 |     65 |        NULL |       25 |
|        248 |     81 |        NULL |       24 |
|        248 |     91 |        NULL |       18 |
|        248 |     92 |        NULL |       32 |
|        248 |     93 |        NULL |       21 |
|        248 |    106 |        NULL |       31 |
|        248 |    113 |        NULL |       16 |
|        248 |    122 |        NULL |        7 |
|        248 |    129 |        NULL |       23 |
|        248 |    134 |        NULL |       10 |
|        248 |    136 |        NULL |       26 |
|        248 |    198 |        NULL |       14 |
|        248 |    220 |        NULL |       17 |
|        267 |      1 |        NULL |        4 |
|        267 |      4 |        NULL |       12 |
|        267 |      6 |        NULL |        3 |
|        267 |      9 |        NULL |       10 |
|        267 |     14 |        NULL |        2 |
|        267 |     29 |        NULL |        8 |
|        267 |     46 |        NULL |        6 |
|        267 |     49 |        NULL |       17 |
|        267 |     54 |        NULL |        7 |
|        267 |     56 |        NULL |       32 |
